Type,Fe,C,S,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO
Sucata,0.748753685,0.014687751,0.002519432,0,0.018440096,0.01597427,0.054355401,0.002680247,0.001929778,0.122540874,0.002036987,0.016081479
Sucata_Gusa,0.790651522,0.032618334,0.013849597,0,0.016573069,0.010767217,0.031668285,0.001372292,0.001266731,0.096271587,0.000950049,0.004011316
Sucata_Hasco,0.698267523,0.018577961,0.003165948,0.001978718,0.029021194,0.019127605,0.063868613,0.002528362,0.001099288,0.145875473,0.002308504,0.014180811
Sucata_MCI1,0.696348918,0.018276061,0.001837932,0.000103255,0.016107715,0.012803568,0.055137948,0.003717165,0.001548819,0.176255576,0.003407401,0.014455642
Sucata_MCI2,0.710639512,0.013633625,0.00072924,0.000528435,0.019763472,0.027372938,0.082752935,0.001373931,0.000422748,0.125556178,0.00496729,0.012259694
Sucata_PH1,0.837966395,0.023577135,0.005230212,0.000308871,0.013487357,0.015752409,0.033666914,0.001029569,0.000926612,0.061877111,0.001441397,0.004736018
Sucata_PH2,0.902600918,0.034391481,0.004050775,0,0.005113602,0.007720537,0.017245874,0.000401067,0.000501334,0.024966411,0.0009024,0.002105601
Sucata_Recibras,0.656076349,0.013530542,0.001115495,0,0.019108017,0.016938999,0.061971947,0.004028177,0.001342726,0.203577847,0.00392489,0.018385011
Sucata_Recibras_NF_9828,0.81546996,0.011722839,0.001570023,0,0.007745447,0.007431442,0.028365083,0.001674691,0.000628009,0.111052962,0.001884028,0.012455516
Sucata_Recicla,0.896494458,0.017807835,0.000860379,0.001100484,0.007803434,0.003001321,0.012505502,0.001100484,0.000400176,0.052823242,0.000800352,0.005302333
Sucata_Retida,0.860569746,0.006993956,0.001012558,0,0.006576406,0.007829055,0.027245112,0.001461424,0.000521937,0.079334426,0.001148261,0.007307118
Sucata_Usiminas,0.689885355,0.036449172,0.003793257,0,0.023840302,0.031681112,0.075017483,0.002013181,0.002225095,0.122380216,0.002225095,0.010489733
SucataPH,0.734023192,0.027455671,0.006499922,0.000623993,0.029431647,0.017159794,0.052831366,0.002183974,0.002183974,0.11835058,0.001871978,0.007383911
Sucatinha1,0.678798129,0.013837334,0.002064618,0,0.018339959,0.050297613,0.079399943,0.001757122,0.002306222,0.135957302,0.003184783,0.014056975
Sucatinha_Topo,0.802532694,0.01810758,0.004911533,0.00011835,0.01787088,0.00615421,0.039647316,0.000473401,0.00011835,0.102254571,0.001538553,0.006272561
Sucatinha2,0.734872369,0.018915895,0.003254348,0,0.021661751,0.01617004,0.053086545,0.002542459,0.001118682,0.135970711,0.002135666,0.010271535
