param,min_temp,max_temp,A,B,C,D,E,F,G,H
O2,100,700,31.32234,-20.23531,57.86644,-36.50624,-0.007374,-8.903471,246.7945,0
O2,700,2000,30.03235,8.772972,-3.988133,0.788313,-0.741599,-11.32468,236.1663,0
O2,2000,6000,20.91111,10.72071,-2.020498,0.146449,9.245722,5.337651,237.6185,0
C,298,6000,21.1751,-0.812428,0.448537,-0.043256,-0.013103,710.347,183.8734,716.669
FeO,298,1650,45.7512,18.78553,-5.952201,0.852779,-0.081265,-286.7429,110.312,-272.0441
FeO,1650,5000,68.1992,-4.50E-10,1.20E-10,-1.06E-11,-3.09E-10,-281.4326,137.8377,-249.5321
Fe2O3,298,950,93.43834,108.3577,-50.86447,25.58683,-1.61133,-863.2094,161.0719,-825.5032
Fe2O3,950,1050,150.624,0,0,0,0,-875.6066,252.8814,-825.5032
Fe2O3,1050,2500,110.9362,32.04714,-9.192333,0.901506,5.433677,-843.1471,228.3548,-825.5032
Fe3O4,298,900,104.2096,178.5108,10.6151,1.132534,-0.994202,-1163.336,212.0585,-1120.894
Fe3O4,900,3000,200.832,0.000000159,-6.66E-08,9.45E-09,3.19E-08,-1174.135,388.079,-1120.894
CO,298,1300,25.56759,6.09613,4.054656,-2.671301,0.131021,-118.0089,227.3665,-110.5271
CO,1300,6000,35.1507,1.300095,-0.205921,0.01355,-3.28278,-127.8375,231.712,-110.5271
CO2,298,1200,24.99735,55.18696,-33.69137,7.948387,-0.136638,-403.6075,228.2431,-393.5224
CO2,1200,6000,58.16639,2.720074,-0.492289,0.038844,-6.447293,-425.9186,263.6125,-393.5224
Al2O3,298,2327,102.429,38.7498,-15.9109,2.628181,-3.007551,-1717.93,146.997,-1675.69
N2,100,500,28.98641,1.853978,-9.647459,16.63537,0.000117,-8.671914,226.4168,0
N2,500,2000,19.50583,19.88705,-8.598535,1.369784,0.527601,-4.935202,212.39,0
N2,2000,6000,35.51872,1.128728,-0.196103,0.014662,-4.55376,-18.97091,224.981,0
